,img_id,filename,attributes,category,partition
0,0,img/Sheer_Pleated-Front_Blouse/img_00000001.jpg,843,2,train
1,1,img/Sheer_Pleated-Front_Blouse/img_00000002.jpg,843,2,train
2,2,img/Sheer_Pleated-Front_Blouse/img_00000003.jpg,983,2,train
3,3,img/Sheer_Pleated-Front_Blouse/img_00000004.jpg,740,2,train
4,4,img/Sheer_Pleated-Front_Blouse/img_00000005.jpg,837,2,train
5,5,img/Sheer_Pleated-Front_Blouse/img_00000006.jpg,741,2,train
6,6,img/Sheer_Pleated-Front_Blouse/img_00000007.jpg,843,2,train
7,7,img/Sheer_Pleated-Front_Blouse/img_00000008.jpg,735,2,train
8,8,img/Sheer_Pleated-Front_Blouse/img_00000009.jpg,601,2,train
9,9,img/Sheer_Pleated-Front_Blouse/img_00000010.jpg,846,2,validate
10,10,img/Sheer_Pleated-Front_Blouse/img_00000012.jpg,740,2,train
11,11,img/Sheer_Pleated-Front_Blouse/img_00000013.jpg,916,2,train
12,12,img/Sheer_Pleated-Front_Blouse/img_00000014.jpg,916,2,train
13,13,img/Sheer_Pleated-Front_Blouse/img_00000015.jpg,215,2,train
14,14,img/Sheer_Pleated-Front_Blouse/img_00000016.jpg,916,2,train
15,15,img/Sheer_Pleated-Front_Blouse/img_00000017.jpg,939,2,train
16,16,img/Sheer_Pleated-Front_Blouse/img_00000018.jpg,843,2,train
17,17,img/Sheer_Pleated-Front_Blouse/img_00000019.jpg,862,2,train
18,18,img/Sheer_Pleated-Front_Blouse/img_00000020.jpg,740,2,train
19,19,img/Sheer_Pleated-Front_Blouse/img_00000021.jpg,1010,2,train
20,20,img/Sheer_Pleated-Front_Blouse/img_00000022.jpg,843,2,train
21,21,img/Sheer_Pleated-Front_Blouse/img_00000023.jpg,276,2,train
22,22,img/Sheer_Pleated-Front_Blouse/img_00000024.jpg,864,2,train
23,23,img/Sheer_Pleated-Front_Blouse/img_00000025.jpg,866,2,train
24,24,img/Sheer_Pleated-Front_Blouse/img_00000026.jpg,739,2,train
25,25,img/Sheer_Pleated-Front_Blouse/img_00000027.jpg,741,2,train
26,26,img/Sheer_Pleated-Front_Blouse/img_00000028.jpg,741,2,train
27,27,img/Sheer_Pleated-Front_Blouse/img_00000029.jpg,93,2,test
28,28,img/Sheer_Pleated-Front_Blouse/img_00000030.jpg,843,2,train
29,29,img/Sheer_Pleated-Front_Blouse/img_00000031.jpg,786,2,train
30,30,img/Sheer_Pleated-Front_Blouse/img_00000032.jpg,786,2,validate
31,31,img/Sheer_Pleated-Front_Blouse/img_00000033.jpg,742,2,train
32,32,img/Sheer_Pleated-Front_Blouse/img_00000034.jpg,843,2,train
33,33,img/Sheer_Pleated-Front_Blouse/img_00000035.jpg,453,2,train
34,34,img/Sheer_Pleated-Front_Blouse/img_00000036.jpg,742,2,train
35,35,img/Sheer_Pleated-Front_Blouse/img_00000037.jpg,740,2,test
36,36,img/Sheer_Pleated-Front_Blouse/img_00000038.jpg,539,2,train
37,37,img/Sheer_Pleated-Front_Blouse/img_00000039.jpg,136,2,train
38,38,img/Sheer_Pleated-Front_Blouse/img_00000040.jpg,521,2,train
39,39,img/Sheer_Pleated-Front_Blouse/img_00000041.jpg,684,2,train
40,40,img/Sheer_Pleated-Front_Blouse/img_00000043.jpg,740,2,train
41,41,img/Sheer_Pleated-Front_Blouse/img_00000044.jpg,741,2,validate
42,42,img/Sheer_Pleated-Front_Blouse/img_00000045.jpg,843,2,train
43,43,img/Sheer_Pleated-Front_Blouse/img_00000046.jpg,741,2,train
44,44,img/Sheer_Pleated-Front_Blouse/img_00000047.jpg,844,2,validate
45,45,img/Sheer_Pleated-Front_Blouse/img_00000048.jpg,842,2,train
46,46,img/Sheer_Pleated-Front_Blouse/img_00000049.jpg,207,2,test
47,47,img/Sheer_Pleated-Front_Blouse/img_00000050.jpg,136,2,test
48,48,img/Sheer_Pleated-Front_Blouse/img_00000051.jpg,843,2,train
49,49,img/Sheer_Pleated-Front_Blouse/img_00000053.jpg,136,2,train
50,50,img/Sheer_Pleated-Front_Blouse/img_00000054.jpg,207,2,train
51,51,img/Sheer_Pleated-Front_Blouse/img_00000055.jpg,744,2,validate
52,52,img/Sheer_Pleated-Front_Blouse/img_00000056.jpg,843,2,train
53,53,img/Sheer_Pleated-Front_Blouse/img_00000057.jpg,844,2,train
54,54,img/Sheer_Pleated-Front_Blouse/img_00000058.jpg,850,2,train
55,55,img/Sheer_Pleated-Front_Blouse/img_00000059.jpg,743,2,train
56,56,img/Sheer_Pleated-Front_Blouse/img_00000060.jpg,740,2,train
57,57,img/Sheer_Pleated-Front_Blouse/img_00000061.jpg,843,2,train
58,58,img/Sheer_Pleated-Front_Blouse/img_00000062.jpg,741,2,validate
59,59,img/Sheer_Pleated-Front_Blouse/img_00000064.jpg,742,2,train
60,60,img/Sheer_Pleated-Front_Blouse/img_00000065.jpg,982,2,train
61,61,img/Sheer_Pleated-Front_Blouse/img_00000066.jpg,844,2,train
62,62,img/Sheer_Pleated-Front_Blouse/img_00000067.jpg,1008,2,train
63,63,img/Sheer_Pleated-Front_Blouse/img_00000068.jpg,838,2,train
64,64,img/Sheer_Pleated-Front_Blouse/img_00000069.jpg,136,2,train
65,65,img/Sheer_Pleated-Front_Blouse/img_00000070.jpg,491,2,train
66,66,img/Sheer_Pleated-Front_Blouse/img_00000071.jpg,458,2,train
67,67,img/Sheer_Pleated-Front_Blouse/img_00000072.jpg,741,2,train
68,68,img/Sheer_Pleated-Front_Blouse/img_00000073.jpg,915,2,train
69,69,img/Sheer_Pleated-Front_Blouse/img_00000075.jpg,741,2,train
70,70,img/Sheer_Pleated-Front_Blouse/img_00000076.jpg,844,2,train
71,71,img/Sheer_Pleated-Front_Blouse/img_00000077.jpg,136,2,test
72,72,img/Sheer_Pleated-Front_Blouse/img_00000078.jpg,744,2,train
73,73,img/Sheer_Pleated-Front_Blouse/img_00000079.jpg,741,2,train
74,74,img/Sheer_Pleated-Front_Blouse/img_00000080.jpg,844,2,train
75,75,img/Sheer_Pleated-Front_Blouse/img_00000081.jpg,537,2,test
76,76,img/Sheer_Pleated-Front_Blouse/img_00000082.jpg,166,2,train
77,77,img/Sheer_Pleated-Front_Blouse/img_00000083.jpg,843,2,train
78,78,img/Sheer_Pleated-Front_Blouse/img_00000084.jpg,850,2,train
79,79,img/Sheer_Pleated-Front_Blouse/img_00000085.jpg,166,2,train
80,80,img/Sheer_Pleated-Front_Blouse/img_00000086.jpg,830,2,train
81,81,img/Sheer_Pleated-Front_Blouse/img_00000087.jpg,843,2,train
82,82,img/Sheer_Pleated-Front_Blouse/img_00000088.jpg,787,2,train
83,83,img/Sheer_Pleated-Front_Blouse/img_00000089.jpg,457,2,validate
84,84,img/Sheer_Pleated-Front_Blouse/img_00000090.jpg,866,2,train
85,85,img/Sheer_Pleated-Front_Blouse/img_00000091.jpg,114,2,train
86,86,img/Sheer_Pleated-Front_Blouse/img_00000092.jpg,741,2,train
87,87,img/Sheer_Pleated-Front_Blouse/img_00000093.jpg,741,2,train
88,88,img/Sheer_Pleated-Front_Blouse/img_00000094.jpg,743,2,train
89,89,img/Sheer_Pleated-Front_Blouse/img_00000095.jpg,843,2,train
90,90,img/Sheer_Pleated-Front_Blouse/img_00000096.jpg,850,2,train
91,91,img/Sheer_Pleated-Front_Blouse/img_00000097.jpg,862,2,train
92,92,img/Sheer_Pleated-Front_Blouse/img_00000098.jpg,863,2,train
93,93,img/Sheer_Pleated-Front_Blouse/img_00000100.jpg,843,2,train
94,94,img/Sheer_Pleated-Front_Blouse/img_00000101.jpg,498,2,train
95,95,img/Sheer_Pleated-Front_Blouse/img_00000102.jpg,843,2,train
96,96,img/Sheer_Pleated-Front_Blouse/img_00000103.jpg,741,2,validate
97,97,img/Sheer_Pleated-Front_Blouse/img_00000104.jpg,844,2,train
98,98,img/Sheer_Pleated-Front_Blouse/img_00000105.jpg,741,2,validate
99,99,img/Sheer_Pleated-Front_Blouse/img_00000106.jpg,843,2,validate
100,100,img/Sheer_Pleated-Front_Blouse/img_00000107.jpg,742,2,train
101,101,img/Sheer_Pleated-Front_Blouse/img_00000108.jpg,845,2,train
102,102,img/Sheer_Pleated-Front_Blouse/img_00000109.jpg,741,2,validate
103,103,img/Sheer_Pleated-Front_Blouse/img_00000110.jpg,843,2,train
104,104,img/Sheer_Pleated-Front_Blouse/img_00000111.jpg,211,2,train
105,105,img/Sheer_Pleated-Front_Blouse/img_00000112.jpg,837,2,validate
106,106,img/Sheer_Pleated-Front_Blouse/img_00000113.jpg,539,2,validate
107,107,img/Sheer_Pleated-Front_Blouse/img_00000115.jpg,93,2,test
108,108,img/Sheer_Pleated-Front_Blouse/img_00000116.jpg,844,2,train
109,109,img/Sheer_Pleated-Front_Blouse/img_00000117.jpg,744,2,train
110,110,img/Sheer_Pleated-Front_Blouse/img_00000118.jpg,136,2,train
111,111,img/Sheer_Pleated-Front_Blouse/img_00000119.jpg,843,2,train
112,112,img/Sheer_Pleated-Front_Blouse/img_00000120.jpg,839,2,train
113,113,img/Sheer_Pleated-Front_Blouse/img_00000121.jpg,844,2,validate
114,114,img/Sheer_Pleated-Front_Blouse/img_00000122.jpg,735,2,train
115,115,img/Sheer_Pleated-Front_Blouse/img_00000124.jpg,593,2,test
116,116,img/Sheer_Pleated-Front_Blouse/img_00000125.jpg,300,2,train
117,117,img/Sheer_Pleated-Front_Blouse/img_00000126.jpg,758,2,train
118,118,img/Sheer_Pleated-Front_Blouse/img_00000127.jpg,849,2,train
119,119,img/Sheer_Pleated-Front_Blouse/img_00000128.jpg,843,2,test
120,120,img/Sheer_Pleated-Front_Blouse/img_00000129.jpg,742,2,train
121,121,img/Sheer_Pleated-Front_Blouse/img_00000130.jpg,377,2,train
122,122,img/Sheer_Pleated-Front_Blouse/img_00000131.jpg,137,2,train
123,123,img/Sheer_Pleated-Front_Blouse/img_00000132.jpg,745,2,train
124,124,img/Sheer_Pleated-Front_Blouse/img_00000133.jpg,145,2,train
125,125,img/Sheer_Pleated-Front_Blouse/img_00000134.jpg,849,2,train
126,126,img/Sheer_Pleated-Front_Blouse/img_00000135.jpg,742,2,train
127,127,img/Sheer_Pleated-Front_Blouse/img_00000136.jpg,743,2,train
128,128,img/Sheer_Pleated-Front_Blouse/img_00000137.jpg,205,2,train
129,129,img/Sheer_Pleated-Front_Blouse/img_00000138.jpg,420,2,validate
130,130,img/Sheer_Pleated-Front_Blouse/img_00000139.jpg,741,2,train
131,131,img/Sheer_Pleated-Front_Blouse/img_00000140.jpg,741,2,train
132,132,img/Sheer_Pleated-Front_Blouse/img_00000141.jpg,228,2,train
133,133,img/Sheer_Pleated-Front_Blouse/img_00000142.jpg,457,2,train
134,134,img/Sheer_Pleated-Front_Blouse/img_00000143.jpg,592,2,train
135,135,img/Sheer_Pleated-Front_Blouse/img_00000144.jpg,741,2,train
136,136,img/Sheer_Pleated-Front_Blouse/img_00000145.jpg,136,2,train
137,137,img/Sheer_Pleated-Front_Blouse/img_00000146.jpg,741,2,train
138,138,img/Sheer_Pleated-Front_Blouse/img_00000147.jpg,166,2,train
139,139,img/Sheer_Pleated-Front_Blouse/img_00000148.jpg,740,2,train
140,140,img/Sheer_Pleated-Front_Blouse/img_00000149.jpg,209,2,train
141,141,img/Sheer_Woven_Blouse/img_00000001.jpg,870,2,train
142,142,img/Sheer_Woven_Blouse/img_00000002.jpg,851,2,train
143,143,img/Sheer_Woven_Blouse/img_00000003.jpg,1018,2,validate
144,144,img/Sheer_Woven_Blouse/img_00000004.jpg,753,2,validate
145,145,img/Sheer_Woven_Blouse/img_00000005.jpg,489,2,train
146,146,img/Sheer_Woven_Blouse/img_00000006.jpg,852,2,train
147,147,img/Sheer_Woven_Blouse/img_00000007.jpg,610,2,train
148,148,img/Sheer_Woven_Blouse/img_00000008.jpg,851,2,train
149,149,img/Sheer_Woven_Blouse/img_00000009.jpg,850,2,train
150,150,img/Sheer_Woven_Blouse/img_00000010.jpg,600,2,train
151,151,img/Sheer_Woven_Blouse/img_00000011.jpg,870,2,train
152,152,img/Sheer_Woven_Blouse/img_00000012.jpg,850,2,train
153,153,img/Sheer_Woven_Blouse/img_00000013.jpg,1016,2,test
154,154,img/Sheer_Woven_Blouse/img_00000014.jpg,852,2,train
155,155,img/Sheer_Woven_Blouse/img_00000015.jpg,219,2,test
156,156,img/Sheer_Woven_Blouse/img_00000016.jpg,843,2,train
157,157,img/Sheer_Woven_Blouse/img_00000017.jpg,851,2,train
158,158,img/Sheer_Woven_Blouse/img_00000018.jpg,546,2,train
159,159,img/Sheer_Woven_Blouse/img_00000019.jpg,724,2,train
160,160,img/Sheer_Woven_Blouse/img_00000020.jpg,429,2,test
161,161,img/Sheer_Woven_Blouse/img_00000021.jpg,246,2,test
162,162,img/Sheer_Woven_Blouse/img_00000022.jpg,144,2,train
163,163,img/Sheer_Woven_Blouse/img_00000023.jpg,218,2,train
164,164,img/Sheer_Woven_Blouse/img_00000024.jpg,851,2,train
